one_star_rating,two_star_rating,three_star_rating,four_star_rating,five_star_rating,accessible_rooms,air_conditioning,airport_transportation,bar_lounge,breakfast_available,breakfast_buffet,breakfast_included,business_center,concierge,dry_cleaning,facilities_for_disabled_guests,family_rooms,fitness_center,free_airport_transportation,free_internet,free_parking,free_wifi,heated_pool,hot_tub,housekeeping,indoor_pool,internet,kitchenette,laundry_service,meeting_rooms,multilingual_staff,nonSmoking_hotel,nonSmoking_rooms,parking,pets_allowed,pool,public_wifi,restaurant,rooftop_bar,rooftop_terrace,room_service,self_serve_laundry,shuttle_bus_service,spa,suites,tennis_court,wheelchair_access,wifi,address,latitude,locality,longitude,name,phone,rating,review_num,star,street_address,web,price,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
26,51,147,541,513,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"103 Waverly Place, New York City, NY 10011-9194",40.7324496,"New York City, NY 10011-9194",-73.9987276,Washington Square Hotel,2127779515,4,1531,3,103 Waverly Place,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=93382&url=0,314,The Marlton Hotel,The Mercer Hotel,Walker Hotel Greenwich Village,Crosby Street Hotel,The Broome,The GEM Hotel Chelsea,Solita Soho Hotel,NOMO SOHO Hotel,11 Howard,NobleDEN Hotel,335,595,505,955,449,302,287,499,509,304
249,317,861,1353,507,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"440 West 57th Street, New York City, NY 10019-3013",40.7684256,"New York City, NY 10019-3013",-73.9874565,The Watson Hotel,,3.5,4545,3,440 West 57th Street,,251,Belvedere Hotel,Hilton Garden Inn Times Square,Hampton Inn Manhattan-Times Square North,Econo Lodge Times Square,City Rooms NYC - Times Square,Fairfield Inn & Suites New York Manhattan/Central Park,Hotel Riu Plaza New York Times Square,Paramount Hotel Times Square New York,The Gallivant Times Square,Mayfair Hotel,341,320,297,239,234,369,339,257,309,222
30,32,64,206,339,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"16 E 46th St, New York City, NY 10017-2471",40.755436,"New York City, NY 10017-2471",-73.978108,The Gotham Hotel,2124908500,4,870,4,16 E 46th St,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=1963673&url=1,351,The Roosevelt Hotel,The Jewel facing Rockefeller Center,3 West Club,Dylan Hotel NYC,"The Renwick Hotel New York City, Curio Collection by Hilton",The Tuscany - A St Giles Signature Hotel,Baccarat Hotel & Residences New York,Library Hotel by Library Hotel Collection,Shelburne NYC-an Affinia hotel,Grand Hyatt New York,287,323,265,398,588,445,1295,548,356,833
153,183,456,1142,1300,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"49 West 32nd Street, New York City, NY 10001-3811",40.7482343,"New York City, NY 10001-3811",-73.9876833,Radisson Martinique on Broadway,18772310729,4,4894,3,49 West 32nd Street,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=99425&url=0,336,Hotel Stanford,La Quinta Inn & Suites Manhattan,"nyma, the New York Manhattan Hotel",Hilton Garden Inn New York/West 35th Street,Hampton Inn Manhattan-35th St/Empire State Bldg,The Gregory Hotel New York,Holiday Inn Express Manhattan Times Square South,Hotel Metro,Broadway Plaza Hotel,Embassy Suites by Hilton New York Midtown Manhattan,278,300,272,429,341,318,529,394,278,419
8,9,14,34,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"147 1st Ave, New York City, NY 10003-2906",40.7283786,"New York City, NY 10003-2906",-73.9850001,East Village Hotel,,3.5,132,3,147 1st Ave,,0,The Ludlow New York City,Gramercy Park Hotel,Holiday Inn NYC - Lower East Side,Freehand New York Hotel,Hotel Indigo Lower East Side New York,Seafarers & International House,Redford Hotel,The Lex NYC,Carlton Arms Hotel,Hotel on Rivington,305,799,297,379,399,128,188,369,137,308
91,106,137,236,201,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"350 W 40th St, New York City, NY 10018-1404",40.756753,"New York City, NY 10018-1404",-73.9931724,Doubletree by Hilton New York Times Square West,18556050318,3.5,1017,4,350 W 40th St,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=11236004&url=1,283,Holiday Inn Express New York City Times Square,Candlewood Suites New York City Times Square,Distrikt Hotel New York City,Hampton Inn Manhattan/Times Square South,Pod Times Square,Staybridge Suites Times Square - New York City,Fairfield Inn & Suites New York Manhattan/Times Square,"Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South, NY",Hilton Garden Inn New York Times Square South,Four Points by Sheraton Midtown - Times Square,294,300,296,284,199,324,404,377,263,275
35,50,134,339,267,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"410 East 92nd Street, New York City, NY 10128-6881",40.7801725,"New York City, NY 10128-6881",-73.9459245,Courtyard New York Manhattan/Upper East Side,18446310595,4,931,3,410 East 92nd Street,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=564851&url=0,300,The Franklin,The Central Park North,Aloft Harlem,The Park Ave North,The Bentley Hotel,Jazz on the Park,The Mark,"The Carlyle, A Rosewood Hotel",Gardens NYC-an Affinia hotel,The Surrey,224,148,254,139,269,78,848,1319,489,833
38,58,113,285,287,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"1295 Madison Ave, New York City, NY 10128-1301",40.7847977,"New York City, NY 10128-1301",-73.9556597,Hotel Wales,2128766000,4,839,3,1295 Madison Ave,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=93625&url=0,0,The Franklin,The Central Park North,Jazz on the Park,The Bentley Hotel,The Mark,Aloft Harlem,"The Carlyle, A Rosewood Hotel",The Surrey,Gardens NYC-an Affinia hotel,Courtyard New York Manhattan/Upper East Side,224,148,78,269,848,254,1319,833,489,300
70,58,137,163,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"80 Riverside Dr, New York City, NY 10024-5725",40.7856047,"New York City, NY 10024-5725",-73.9816944,Riverside Tower Hotel,,3,689,2,80 Riverside Dr,,0,Hotel Belleclaire,Hotel Beacon,NYLO New York City,The Lucerne Hotel,Empire Hotel,West Side YMCA,Trump International Hotel and Tower New York,La Quinta Inn & Suites New York City Central Park,"Mandarin Oriental, New York",Da Vinci Hotel,297,325,331,316,288,140,788,299,1095,239
128,125,326,794,359,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"109 West 45th Street, New York City, NY 10036-4071",40.7572367,"New York City, NY 10036-4071",-73.9832555,Hotel St. James,,3.5,2845,2,109 West 45th Street,,229,Kimpton Muse Hotel,Room Mate Grace,Night Times Square,Hyatt Centric Times Square New York,Radio City Apartments,AKA Times Square,"The Algonquin Hotel Times Square, Autograph Collection",Royalton New York Hotel,Cassa Hotel 45th Street New York,Hotel Mela,589,386,231,503,216,545,493,425,344,308
16,42,103,501,2296,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,"45 West 38th Street, New York City, NY 10018-5501",40.7520582,"New York City, NY 10018-5501",-73.9847017,Archer Hotel New York,2127194100,4.5,3322,4,45 West 38th Street,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=5550873&url=2,0,"Marriott Vacation Club Pulse, New York City",SpringHill Suites New York Midtown Manhattan/Fifth Avenue,Fairfield Inn & Suites New York Manhattan/Fifth Avenue,Refinery Hotel,Americana Inn,The Langham New York Fifth Avenue,Best Western Premier Herald Square,The Bryant Park Hotel,Hyatt Place New York Midtown South,"The Chatwal, A Luxury Collection Hotel, New York",341,436,350,520,170,968,317,495,479,745
22,24,78,249,91,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"204 W 23rd St, New York City, NY 10011-2301",40.7439467,"New York City, NY 10011-2301",-73.9960877,Chelsea Savoy Hotel,,4,699,2,204 W 23rd St,,0,Midtown West Hotel,Chelsea Inn - 17th Street,Walker Hotel Greenwich Village,Hilton New York Fashion District,Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,TRYP HOTEL NYC - Times Square South by Wyndham,Hampton Inn Manhattan-Chelsea,The Marlton Hotel,Hudson River Hotel,The GEM Hotel Chelsea,206,196,505,424,391,289,379,335,196,302
29,43,108,364,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,"891 Amsterdam Ave, New York City, NY 10025-4403",40.7986383,"New York City, NY 10025-4403",-73.9666112,Hostelling International - New York,2129322300,4,1811,2,891 Amsterdam Ave,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=121994&url=1,0,Morningside Inn,Broadway Hotel and Hostel,Jazz on the Park,Days Inn Hotel New York City-Broadway,Royal Park Hotel,The Surrey,The Mark,"The Carlyle, A Rosewood Hotel",Excelsior Hotel,Belnord Hotel,90,130,78,195,134,833,848,1319,292,173
91,90,180,209,66,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"224 E 47th St, New York City, NY 10017-2102",40.7533773,"New York City, NY 10017-2102",-73.971022,The Vanderbilt YMCA,2129122504,3.5,1386,2,224 E 47th St,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=113325&url=0,109,Fifty NYC-an Affinia hotel,San Carlos Hotel,The Kimberly Hotel,Best Western Plus Hospitality House,DoubleTree by Hilton Hotel Metropolitan - New York City,The Benjamin,Hampton Inn Manhattan Grand Central,EVEN Hotel New York - Midtown East,W New York,Courtyard New York Manhattan/Midtown East,349,324,469,561,325,459,429,359,351,529
2,2,2,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"765 8th Ave, New York City, NY 10036-7005",40.7603517,"New York City, NY 10036-7005",-73.9878008,City Rooms NYC - Times Square,,3.5,21,2,765 8th Ave,,234,Econo Lodge Times Square,Hotel Riu Plaza New York Times Square,Belvedere Hotel,Paramount Hotel Times Square New York,Row NYC Hotel,Hilton Garden Inn Times Square,Hotel Shocard at Times Square,The Gallivant Times Square,Hotel Edison Times Square,The Westin New York at Times Square,239,339,341,257,278,320,289,309,254,474
15,26,89,182,802,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"5 Madison Ave, New York City, NY 10010-3678",40.7412504,"New York City, NY 10010-3678",-73.9875224,The New York EDITION,2124134200,4.5,1218,5,5 Madison Ave,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=7787303&url=1,540,W New York - Union Square,Seafarers & International House,Broadway Plaza Hotel,Hotel Stanford,Gramercy Park Hotel,Radisson Martinique on Broadway,Flatiron Hotel,"nyma, the New York Manhattan Hotel",La Quinta Inn & Suites Manhattan,Heritage Hotel New York City,572,128,278,278,799,336,374,272,300,211
21,35,75,222,647,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,"60 Thompson St, New York City, NY 10012-4308",40.7240067,"New York City, NY 10012-4308",-74.0030701,SIXTY SoHo,2124310400,4.5,1087,4,60 Thompson St,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=93398&url=1,625,Sheraton Tribeca New York Hotel,Soho Grand Hotel,The James New York - SoHo,SoHo Garden Hotel,Hampton Inn Manhattan-SoHo,The Roxy Hotel Tribeca,The Dominick Hotel,Hilton Garden Inn New York/Tribeca,Courtyard New York Manhattan/SoHo,CITY ROOMS NYC SoHo,339,484,446,212,309,356,465,323,427,244
108,208,445,1318,1268,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"250 West 77th Street, New York City, NY 10024-6810",40.7824708,"New York City, NY 10024-6810",-73.9813335,Hotel Belleclaire,18774683522,4,3909,3,250 West 77th Street,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=93390&url=1,297,Hotel Beacon,NYLO New York City,The Lucerne Hotel,West Side YMCA,Empire Hotel,Trump International Hotel and Tower New York,La Quinta Inn & Suites New York City Central Park,"Mandarin Oriental, New York",The Manhattan Club,Park Central Hotel New York,325,331,316,140,288,788,299,1095,346,286
14,14,60,81,221,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"210 W 55th St, New York City, NY 10019-5467",40.7644023,"New York City, NY 10019-5467",-73.9819469,Dream Midtown,2122472000,4,467,4,210 W 55th St,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=75688&url=1,333,Park Central Hotel New York,The Manhattan Club,Courtyard by Marriott New York Manhattan/Central Park,Residence Inn New York Manhattan/Central Park,Ameritania Hotel,Moderne Hotel,The Michelangelo Hotel,The Manhattan at Times Square Hotel,Da Vinci Hotel,Hilton Garden Inn New York/Central Park South-Midtown West,286,346,444,458,292,298,430,279,239,389
53,85,190,604,926,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,"501 Lexington Avenue, New York City, NY 10017-2008",40.7547086,"New York City, NY 10017-2008",-73.9733909,Roger Smith Hotel,2127551400,4,2295,3,501 Lexington Avenue,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=80107&url=1,350,"The Lexington Hotel, Autograph Collection",Hotel 48LEX New York,Residence Inn New York Manhattan / Midtown East,The Bernic Hotel,New York Marriott East Side,W New York,Fitzpatrick Grand Central,The Westin New York Grand Central,EVEN Hotel New York - Midtown East,Hotel Boutique At Grand Central,500,404,459,399,539,351,358,499,359,413
12,19,34,144,474,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"171 Ludlow Street, New York City, NY 10002-1501",40.7217549,"New York City, NY 10002-1501",-73.9878467,Hotel Indigo Lower East Side New York,18778595095,4.5,794,4,171 Ludlow Street,https://tripadvisor.com/Commerce?p=IHG&src=64580558&geo=7352347&from=Hotel_Review&area=URL_HOTEL&slot=1&matchID=1&oos=0&cnt=1&silo=30734&bucket=878220&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=102962726&managed=false&capped=false&gosox=bgdyf-ddsn1IeOj7xjxjNylZlF5Um4lX3gmdJUBKoxATMPA7e8r_-N6c-lL1W5S-jitEeghuhte8g7ZQWI3HH-WcrLe-UhxP3jc6oxCsNEo&adults=2&child_rm_ages=&inDay=16&outDay=17&rooms=1&dated=true&inMonth=4&inYear=2018&outMonth=4&outYear=2018&def_d=true&cs=1b451cf9d2b5b6eda8b6eeb1f0780fc54,399,Redford Hotel,Hotel on Rivington,The Ludlow New York City,SIXTY LES,Orchard Street Hotel,The Ridge Hotel,Holiday Inn NYC - Lower East Side,Blue Moon Hotel,The Gatsby Hotel,Seafarers & International House,188,308,305,417,278,248,297,98,288,128
0,1,6,27,219,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"320 W 36th St, New York City, NY 10018-7598",40.7537662,"New York City, NY 10018-7598",-73.9937463,Crowne Plaza HY36 Midtown Manhattan,18778595095,5,279,4,320 W 36th St,https://tripadvisor.com/Commerce?p=IHG&src=115475716&geo=11854022&from=Hotel_Review&area=URL_HOTEL&slot=1&matchID=1&oos=0&cnt=1&silo=30734&bucket=878220&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=102962727&managed=false&capped=false&gosox=bgdyf-ddsn1IeOj7xjxjNylZlF5Um4lX3gmdJUBKoxATMPA7e8r_-N6c-lL1W5S-CqOoHim_yceEi-LAJybT2SKLh0jDiY8Y6mevbIKIQGk&adults=2&child_rm_ages=&inDay=16&outDay=17&rooms=1&dated=true&inMonth=4&inYear=2018&outMonth=4&outYear=2018&def_d=true&cs=1e349e5fc6918fa758eb08b0b5ecac01a,309,EVEN Hotel Times Square South,Hilton Garden Inn New York Times Square South,Doubletree By Hilton - Times Square South,The New Yorker A Wyndham Hotel,"Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South, NY",TRYP HOTEL NYC - Times Square South by Wyndham,Holiday Inn Express New York City Times Square,Doubletree by Hilton New York Times Square West,Cassa Hotel Times Square,Candlewood Suites New York City Times Square,460,263,287,296,377,289,294,283,285,300
27,33,84,492,1931,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"218 West 50th Street, New York City, NY 10019-6702",40.761591,"New York City, NY 10019-6702",-73.9849772,citizenM New York Times Square,2124613638,4.5,3491,4,218 West 50th Street,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=6385164&url=0,304,Amsterdam Court Hotel,Crowne Plaza Times Square Manhattan,The Time New York,The Pearl Hotel,DoubleTree Suites by Hilton Hotel New York City - Times Square,Renaissance New York Times Square Hotel,Hampton Inn Manhattan-Times Square North,W New York - Times Square,Mayfair Hotel,Millennium Broadway New York Times Square,241,403,449,440,364,417,297,449,222,322
